Place_Name,Address,Rating,User_Ratings
Stanley Park,"Vancouver, BC V6G 1Z4, Canada",4.8,49325
Vancouver Seawall,"Vancouver, BC V6G 3E2, Canada",4.8,2719
English Bay Beach,"Beach Ave, Vancouver, BC V6C 3C1, Canada",4.7,18417
Queen Elizabeth Park,"Vancouver, BC V5Y 2N3, Canada",4.7,15470
VanDusen Botanical Garden,"5251 Oak St, Vancouver, BC V6M 4H1, Canada",4.7,12588
Kitsilano Beach Park,"1499 Arbutus St, Vancouver, BC V6J 5N2, Canada",4.7,8811
Museum of Anthropology at UBC,"6393 NW Marine Dr, Vancouver, BC V6T 1Z2, Canada",4.7,5228
Jericho Beach Park,"3941 Point Grey Rd, Vancouver, BC V6R 1P6, Canada",4.7,5152
Orpheum,"601 Smithe St, Vancouver, BC V6B 3L4, Canada",4.7,5050
Granville Island,"Granville Island, Vancouver, BC, Canada",4.7,3600
Vancouver Public Library - Central Library,"350 W Georgia St, Vancouver, BC V6B 6B1, Canada",4.7,2316
Kitsilano Beach,"Kitsilano Beach, Vancouver, BC, Canada",4.7,1751
Nitobe Memorial Garden,"1895 Lower Mall, Vancouver, BC V6T 1Z4, Canada",4.7,1311
Spanish Banks Beach,"Spanish Banks Beach, Metro Vancouver, BC, Canada",4.7,891
Bill Reid Gallery of Northwest Coast Art,"639 Hornby St, Vancouver, BC V6C 2G3, Canada",4.7,624
False Creek,"False Creek, Vancouver, BC, Canada",4.7,233
Capilano Suspension Bridge Park,"3735 Capilano Rd, North Vancouver, BC V7R 4J1, Canada",4.6,35003
Canada Place,"999 Canada Pl, Vancouver, BC V6C 3T4, Canada",4.6,25168
Granville Island Public Market,"Public Market, 1689 Johnston St, Vancouver, BC V6H 3S2, Canada",4.6,23631
Bloedel Conservatory,"4600 Cambie St., Vancouver, BC V5Y 2M4, Canada",4.6,8029
Deer Lake Park,"5435 Sperling Ave, Burnaby, BC V5E 2L8, Canada",4.6,7784
Central Park,"3883 Imperial St, Burnaby, BC V5J 1A3, Canada",4.6,6325
Steveston Fisherman's Wharf,"3800 Bayview St, Richmond, BC V7E 6K7, Canada",4.6,4792
Vancouver Convention Centre,"1055 Canada Pl, Vancouver, BC V6C 0C3, Canada",4.6,4089
Lions Gate Bridge,"Lions Gate Bridge Rd, Vancouver, BC, Canada",4.6,1866
Acadia Beach,"NW Marine Dr, Vancouver, BC V6T 1B7, Canada",4.6,447
Marine Building,"355 Burrard St, Vancouver, BC V6C 2G8, Canada",4.6,257
Robson St,"Robson St, Vancouver, BC, Canada",4.6,182
Science World,"1455 Quebec St, Vancouver, BC V6A 3Z7, Canada",4.5,14698
Rogers Arena,"800 Griffiths Wy, Vancouver, BC V6B 6G1, Canada",4.5,11868
Vancouver Aquarium,"845 Avison Way, Vancouver, BC V6G 3E2, Canada",4.5,11288
Totem Poles,"Vancouver, BC V6G 3G1, Canada",4.5,6941
Queen Elizabeth Theatre,"630 Hamilton St, Vancouver, BC V6B 5N6, Canada",4.5,5992
Vancouver Maritime Museum,"1905 Ogden Ave, Vancouver, BC V6J 1A1, Canada",4.5,371
BC Place,"777 Pacific Blvd, Vancouver, BC V6B 4Y8, Canada",4.4,13334
Waterfront Station,"601 W Cordova St, Vancouver, BC V6B 1G1, Canada",4.4,757
CF Pacific Centre,"701 W Georgia St, Vancouver, BC V7Y 1G5, Canada",4.3,11907
Vancouver Art Gallery,"750 Hornby St, Vancouver, BC V6Z 2H7, Canada",4.3,8563
Museum of Vancouver,"1100 Chestnut St, Vancouver, BC V6J 3J9, Canada",4.3,1752
Dr. Sun Yat-Sen Classical Chinese Garden,"578 Carrall St, Vancouver, BC V6B 5K2, Canada",4.2,5443
